,full_df_name,model,best_parameters,MSE,MAE,MAPE,RMSE,SMAPE
1,BA47_80:20_MinMax_window1_PCA_90,Linear Regressor,{},0.05711094841978287,0.1969742095635587,0.3214520643100089,0.2389789706643304,30.63180982499702
2,BA47_80:20_MinMax_window1_PCA_95,Linear Regressor,{},0.07488735738914702,0.2317225895985426,0.3936214306333721,0.2736555451459864,36.2497118520688
3,BA47_80:20_MinMax_window1_PCA_90,Support Vector Regressor,"{'kernel': 'rbf', 'gamma': 0.0001, 'C': 1}",0.04876649141268823,0.1741806073517354,0.3469347399847332,0.2208313641960494,27.10480365916969
4,BA47_80:20_MinMax_window1_PCA_95,Support Vector Regressor,"{'kernel': 'rbf', 'gamma': 0.0001, 'C': 1}",0.04879613569078625,0.1742261816340633,0.3469377833678972,0.2208984737176476,27.11204891723373
5,BA47_80:20_MinMax_window1_PCA_90,Decision Tree Regressor,"{'splitter': 'best', 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.1, 'max_leaf_nodes': 90, 'max_features': None, 'max_depth': 26, 'criterion': 'mae', 'ccp_alpha': 0.0}",0.04844702540556579,0.174112410629967,0.3489182037358353,0.2201068499742018,27.08656660991536
6,BA47_80:20_MinMax_window1_PCA_95,Decision Tree Regressor,"{'splitter': 'best', 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.1, 'max_leaf_nodes': 90, 'max_features': None, 'max_depth': 26, 'criterion': 'mae', 'ccp_alpha': 0.0}",0.04844702540556579,0.174112410629967,0.3489182037358353,0.2201068499742018,27.08656660991536
7,BA47_80:20_MinMax_window1_PCA_90,K-Neighbors Regressor,"{'weights': 'distance', 'n_neighbors': 6}",0.06831050863711195,0.2019243502944355,0.3559556919248735,0.2613627912253616,32.22746614437752
8,BA47_80:20_MinMax_window1_PCA_95,K-Neighbors Regressor,"{'weights': 'uniform', 'n_neighbors': 9}",0.06375615689242825,0.1946721147383616,0.3319484787951991,0.2524998156285035,31.11613867280188
9,BA47_80:20_MinMax_window1_PCA_90,Stochastic Gradient Descent Regressor,"{'tol': 0.0001, 'power_t': 0.25, 'penalty': 'elasticnet', 'max_iter': 3000, 'loss': 'squared_loss', 'learning_rate': 'optimal', 'l1_ratio': 0, 'fit_intercept': True, 'eta0': 0.001, 'alpha': 1}",0.05271346107426658,0.1788375707010083,0.335650476974534,0.2295941224732606,27.93833242701672
10,BA47_80:20_MinMax_window1_PCA_95,Stochastic Gradient Descent Regressor,"{'tol': 0.0001, 'power_t': 0.25, 'penalty': 'elasticnet', 'max_iter': 3000, 'loss': 'squared_loss', 'learning_rate': 'optimal', 'l1_ratio': 0, 'fit_intercept': True, 'eta0': 0.001, 'alpha': 1}",0.05303317521058963,0.1790556379040789,0.33625437103495,0.2302893293459114,27.96232385415919
11,BA47_80:20_MinMax_window1_PCA_90,Voting Regressor,"{'rf__n_estimators': 50, 'gb__n_estimators': 10}",0.04782461270304932,0.169841879221391,0.3057500467735583,0.2186883917885202,26.63578180455797
12,BA47_80:20_MinMax_window1_PCA_95,Voting Regressor,"{'rf__n_estimators': 100, 'gb__n_estimators': 200}",0.05793623416923478,0.1811546640468206,0.3484757540145436,0.2406994685686588,27.87113726915815
13,BA47_80:20_MinMax_window1_PCA_90,Stacking Regressor,{'final_estimator': LinearSVR(random_state=42)},0.07034854138090758,0.2114823228003608,0.4172056567556154,0.2652329945178533,33.4601662529774
14,BA47_80:20_MinMax_window1_PCA_95,Stacking Regressor,{'final_estimator': RandomForestRegressor(random_state=42)},0.1088288500423095,0.2829967702282941,0.5194284008763507,0.3298921794197455,49.55032438958884
15,BA47_80:20_MinMax_window1_PCA_90,Gradient Boosting Regressor,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 10, 'min_impurity_decrease': 2, 'max_leaf_nodes': None, 'max_features': 'sqrt', 'max_depth': 20, 'learning_rate': 1}",0.0533224282163323,0.1816258351434023,0.3453322867817593,0.230916496197938,28.34026631476321
16,BA47_80:20_MinMax_window1_PCA_95,Gradient Boosting Regressor,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 10, 'min_impurity_decrease': 2, 'max_leaf_nodes': None, 'max_features': 'sqrt', 'max_depth': 20, 'learning_rate': 1}",0.0533224282163323,0.1816258351434023,0.3453322867817593,0.230916496197938,28.34026631476321
17,BA47_80:20_MinMax_window1_PCA_90,Random Forest Regressor,"{'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 20}",0.04886462214928845,0.1717014791906782,0.3171241544921803,0.2210534373161577,26.95455078301096
18,BA47_80:20_MinMax_window1_PCA_95,Random Forest Regressor,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 30}",0.05150446173345759,0.1738046751857101,0.348032469704917,0.2269459445186399,26.89254667625114
19,BA47_80:20_MinMax_window1_PCA_90,AdaBoostRegressor,"{'n_estimators': 100, 'loss': 'square', 'learning_rate': 0.01}",0.04531019929734594,0.1686610990257584,0.3478453189531952,0.2128619254290113,26.25930887172677
20,BA47_80:20_MinMax_window1_PCA_95,AdaBoostRegressor,"{'n_estimators': 400, 'loss': 'square', 'learning_rate': 1.0}",0.05003089476849372,0.186475679252366,0.4238841182370524,0.2236758698842898,27.94422842654262
21,BA47_80:20_MinMax_window1_PCA_90,BaggingRegressor,"{'n_estimators': 150, 'max_samples': 0.1, 'max_features': 1.0}",0.05019728224981431,0.1801663775692653,0.3435375829902379,0.2240474999856377,28.18410508304215
22,BA47_80:20_MinMax_window1_PCA_95,BaggingRegressor,"{'n_estimators': 150, 'max_samples': 0.1, 'max_features': 1.0}",0.0515973506676384,0.1783756754955263,0.3352417810299772,0.2271505022394588,27.86093073750153
